Size,Sleeve_Type,Color,Collar_Type,Fit,Pattern,Price,Trial_Count,Purchased
M,Sleeveless,Black,Mandarin,Slim,Printed,837,9,1
M,Half,Yellow,Round,Loose,Solid,466,1,0
M,Sleeveless,Red,V-Neck,Loose,Checked,676,2,0
S,Full,Blue,Round,Slim,Solid,944,3,1
S,Sleeveless,White,Mandarin,Regular,Striped,2829,10,0
S,Half,Yellow,V-Neck,Regular,Solid,296,3,0
XL,Half,Red,V-Neck,Slim,Striped,2962,0,1
L,Sleeveless,Black,V-Neck,Slim,Solid,1714,1,0
S,Sleeveless,Red,V-Neck,Slim,Striped,587,2,1
M,Sleeveless,White,V-Neck,Loose,Printed,1350,0,1
XL,Sleeveless,Yellow,Round,Regular,Printed,777,0,0
S,Full,Red,Polo,Slim,Solid,457,4,1
L,Full,White,Mandarin,Loose,Printed,847,2,1
L,Sleeveless,Red,V-Neck,Slim,Solid,1459,1,1
M,Half,Black,Polo,Loose,Solid,2753,8,0
M,Full,Red,V-Neck,Slim,Striped,1625,6,1
XL,Full,White,Mandarin,Regular,Printed,1753,3,0
M,Full,White,V-Neck,Regular,Solid,3000,0,0
XL,Sleeveless,Red,Mandarin,Regular,Striped,463,3,0
L,Full,Green,Round,Regular,Striped,949,2,0
L,Full,White,Polo,Loose,Checked,1099,1,0
XL,Sleeveless,Black,Polo,Slim,Checked,265,6,0
S,Half,Yellow,Round,Regular,Striped,2555,5,0
XL,Half,White,Mandarin,Regular,Solid,1044,2,0
M,Half,Black,Round,Regular,Solid,1269,1,0
L,Full,Blue,Round,Regular,Striped,733,2,1
L,Half,Black,Polo,Loose,Solid,1126,2,0
M,Half,Black,V-Neck,Regular,Printed,2573,5,0
S,Half,White,Round,Slim,Printed,547,2,0
XL,Full,Blue,V-Neck,Regular,Striped,547,1,0
M,Half,Blue,Polo,Loose,Printed,618,1,0
M,Full,Blue,Polo,Slim,Printed,981,4,1
L,Full,Blue,Polo,Slim,Solid,987,1,1
S,Full,Blue,Polo,Slim,Checked,1533,2,1
M,Full,Green,Polo,Regular,Solid,1785,5,1
XL,Sleeveless,Black,Round,Regular,Striped,1254,0,1
S,Sleeveless,Yellow,Polo,Slim,Solid,1667,6,0
L,Half,White,Polo,Regular,Checked,2336,5,0
M,Half,White,Polo,Slim,Solid,2839,6,0
M,Sleeveless,White,V-Neck,Regular,Striped,1051,4,1
XL,Sleeveless,Red,Mandarin,Slim,Printed,2562,3,0
S,Half,White,Round,Regular,Checked,213,7,0
M,Full,Black,Polo,Regular,Solid,1802,6,0
M,Half,Red,Round,Slim,Printed,602,2,0
L,Sleeveless,Yellow,V-Neck,Regular,Solid,385,3,0
S,Sleeveless,Black,Polo,Regular,Solid,2668,5,1
S,Half,Red,V-Neck,Regular,Solid,1758,1,0
L,Sleeveless,Blue,Polo,Slim,Solid,1417,6,1
L,Half,Red,Round,Regular,Striped,1308,3,1
M,Half,Black,Mandarin,Regular,Checked,718,3,1
L,Sleeveless,Red,Polo,Loose,Printed,861,0,0
M,Half,Green,Mandarin,Regular,Printed,303,6,1
M,Half,White,V-Neck,Loose,Checked,233,0,0
L,Half,Yellow,Round,Regular,Printed,1586,5,0
S,Half,White,Round,Slim,Printed,832,1,0
L,Half,Blue,Mandarin,Slim,Striped,351,1,1
M,Full,Red,V-Neck,Slim,Checked,1740,10,1
M,Full,White,Polo,Loose,Checked,948,2,0
S,Sleeveless,Black,Round,Regular,Solid,2043,1,0
M,Full,Yellow,V-Neck,Regular,Checked,612,7,1
L,Full,Red,Mandarin,Regular,Striped,2438,4,0
M,Full,Black,Round,Slim,Printed,1870,0,0
S,Half,Green,V-Neck,Regular,Solid,834,3,0
M,Half,Black,Mandarin,Regular,Printed,2449,5,1
M,Full,White,Polo,Slim,Solid,718,1,1
S,Full,White,Mandarin,Slim,Checked,1862,2,1
S,Half,Red,V-Neck,Regular,Checked,2481,9,0
L,Sleeveless,White,Round,Regular,Printed,926,2,1
L,Full,White,Round,Regular,Solid,298,3,1
M,Sleeveless,Black,Polo,Regular,Printed,576,3,1
L,Half,White,V-Neck,Loose,Striped,2416,3,0
S,Sleeveless,White,Round,Loose,Solid,2940,7,1
L,Half,Yellow,Polo,Regular,Printed,548,2,0
M,Half,Blue,Mandarin,Regular,Striped,615,0,0
M,Half,Blue,Polo,Loose,Checked,1198,1,0
M,Full,Yellow,V-Neck,Slim,Striped,2080,1,0
S,Half,Green,Polo,Regular,Striped,1267,0,1
XL,Sleeveless,Black,V-Neck,Slim,Solid,2849,2,0
L,Half,Black,Round,Slim,Solid,1989,3,0
S,Full,Yellow,Round,Regular,Striped,717,3,0
S,Sleeveless,Blue,Mandarin,Loose,Checked,2287,6,1
M,Half,Red,V-Neck,Loose,Solid,1008,0,0
XL,Half,Black,Round,Regular,Checked,241,3,0
M,Half,Red,Round,Regular,Printed,334,1,1
S,Half,Black,V-Neck,Loose,Solid,929,7,1
L,Sleeveless,Black,V-Neck,Loose,Solid,692,7,1
S,Sleeveless,White,Round,Loose,Solid,1723,1,1
L,Full,Blue,Round,Loose,Printed,2832,2,0
L,Half,Black,Mandarin,Loose,Solid,479,2,0
L,Sleeveless,Red,Round,Loose,Solid,1604,0,0
L,Full,White,Polo,Regular,Solid,2547,0,1
M,Half,Blue,Mandarin,Slim,Checked,594,1,1
M,Half,Red,Polo,Slim,Solid,1061,0,1
XL,Half,Black,V-Neck,Slim,Solid,798,6,0
M,Full,Green,V-Neck,Loose,Striped,956,2,0
L,Sleeveless,Black,Polo,Regular,Striped,1772,4,0
M,Half,Red,Mandarin,Regular,Printed,1856,9,1
XL,Full,Red,Round,Slim,Striped,371,5,0
M,Sleeveless,Blue,Polo,Regular,Printed,1778,3,0
L,Full,Black,Polo,Loose,Checked,2695,3,0
XL,Full,Red,Round,Regular,Striped,1231,7,0
L,Half,Green,Polo,Regular,Solid,1155,3,0
M,Sleeveless,Black,Round,Slim,Printed,962,2,1
L,Full,White,Polo,Regular,Printed,1512,6,0
L,Half,Green,Polo,Loose,Printed,2759,4,1
L,Sleeveless,Blue,Round,Regular,Printed,2689,7,1
M,Half,Green,Mandarin,Slim,Checked,930,7,0
M,Half,White,V-Neck,Slim,Printed,451,3,1
L,Half,Black,Round,Slim,Solid,1351,1,1
XL,Half,Blue,Polo,Loose,Checked,944,2,1
S,Half,Green,Round,Loose,Striped,2293,7,0
L,Half,Yellow,Polo,Regular,Striped,590,3,0
S,Full,White,V-Neck,Slim,Printed,1370,3,0
XL,Full,Black,V-Neck,Regular,Checked,732,2,0
S,Sleeveless,Blue,V-Neck,Slim,Printed,1628,6,0
M,Full,Black,Mandarin,Regular,Solid,686,2,1
M,Full,Yellow,V-Neck,Regular,Striped,535,2,1
XL,Half,Black,Mandarin,Slim,Checked,1177,3,0
S,Half,White,V-Neck,Slim,Checked,1747,5,0
M,Half,Blue,Polo,Loose,Striped,1285,0,0
M,Full,Black,Round,Regular,Solid,657,1,0
XL,Half,Blue,Round,Slim,Printed,1430,1,0
XL,Full,Red,Mandarin,Loose,Solid,2598,3,0
L,Full,Blue,V-Neck,Loose,Striped,2799,3,0
M,Full,Blue,Round,Regular,Printed,1027,3,1
M,Full,Blue,Mandarin,Regular,Solid,1712,4,0
XL,Half,White,Polo,Regular,Solid,1508,3,0
S,Sleeveless,Yellow,Polo,Slim,Solid,2511,4,1
S,Full,Green,Round,Regular,Striped,3000,3,1
XL,Full,Red,Round,Regular,Striped,589,3,1
L,Sleeveless,Green,Round,Regular,Printed,2030,6,0
L,Full,Blue,Polo,Loose,Solid,1535,2,1
S,Sleeveless,Black,Round,Regular,Striped,640,3,0
L,Sleeveless,White,Round,Loose,Solid,259,2,0
XL,Full,White,V-Neck,Regular,Checked,1586,2,1
L,Sleeveless,Red,V-Neck,Loose,Solid,2407,7,1
M,Full,Black,V-Neck,Slim,Solid,1167,2,1
L,Sleeveless,Black,Mandarin,Regular,Checked,648,1,0
S,Sleeveless,Blue,Polo,Slim,Solid,1414,0,1
M,Half,Green,Mandarin,Slim,Printed,2428,0,1
S,Full,White,V-Neck,Loose,Solid,2879,5,0
L,Sleeveless,Red,Polo,Loose,Printed,2514,5,0
XL,Sleeveless,Green,Round,Regular,Printed,605,0,0
L,Sleeveless,Red,Round,Slim,Solid,1138,1,0
M,Half,Blue,V-Neck,Slim,Solid,2775,9,0
L,Sleeveless,Yellow,Mandarin,Regular,Printed,288,3,1
L,Full,Black,Round,Slim,Printed,516,3,1
M,Half,Black,Round,Loose,Printed,373,2,1
L,Sleeveless,White,Round,Loose,Printed,2809,5,0
M,Full,Blue,V-Neck,Regular,Striped,1194,1,0
L,Half,Blue,Mandarin,Slim,Printed,1769,6,0
XL,Half,Red,V-Neck,Loose,Printed,1021,5,1
XL,Full,Black,Polo,Slim,Solid,886,0,1
M,Sleeveless,Red,Round,Regular,Solid,1070,3,1
L,Sleeveless,Yellow,Mandarin,Slim,Striped,523,1,0
S,Full,Black,Polo,Regular,Striped,2220,5,0
S,Half,White,V-Neck,Slim,Printed,465,2,0
XL,Half,Yellow,Round,Regular,Solid,926,6,0
M,Half,Red,Round,Slim,Solid,470,2,1
L,Half,Blue,Polo,Slim,Printed,603,10,1
M,Half,Red,Mandarin,Regular,Checked,432,3,1
M,Full,Blue,Mandarin,Loose,Solid,650,2,0
L,Full,Black,Round,Slim,Printed,1423,4,1
M,Full,Blue,Polo,Slim,Printed,1689,7,1
XL,Half,Black,Round,Loose,Printed,1217,5,1
M,Half,White,V-Neck,Regular,Solid,1045,1,1
S,Half,Blue,V-Neck,Regular,Printed,543,2,0
L,Half,Blue,V-Neck,Slim,Printed,438,6,1
M,Full,Green,V-Neck,Loose,Checked,1362,3,0
XL,Half,White,Round,Slim,Printed,2152,9,0
S,Sleeveless,White,Round,Loose,Checked,654,0,0
M,Half,Red,V-Neck,Regular,Solid,2807,2,0
L,Sleeveless,Green,Round,Regular,Checked,1049,3,0
L,Full,White,Round,Slim,Solid,1077,1,1
L,Half,White,Round,Slim,Checked,1012,2,1
L,Half,Blue,V-Neck,Loose,Printed,1455,3,1
M,Full,White,Polo,Loose,Printed,546,1,0
M,Sleeveless,Black,V-Neck,Regular,Solid,527,1,1
M,Half,Green,Mandarin,Slim,Printed,1835,4,0
XL,Full,Green,Polo,Slim,Printed,651,6,1
S,Sleeveless,Blue,V-Neck,Regular,Checked,1481,4,0
L,Full,Black,Round,Slim,Printed,603,1,0
S,Sleeveless,Blue,Round,Slim,Printed,1341,8,1
M,Full,White,Mandarin,Regular,Striped,2272,0,1
XL,Half,Black,V-Neck,Regular,Printed,2125,3,1
M,Sleeveless,Green,Polo,Slim,Solid,1338,3,0
M,Half,Blue,Round,Regular,Printed,2408,6,0
L,Full,Black,V-Neck,Regular,Striped,2078,2,0
L,Full,Blue,Polo,Regular,Solid,980,2,0
L,Sleeveless,Blue,V-Neck,Slim,Checked,1507,3,0
L,Half,Green,Polo,Loose,Striped,1982,0,1
XL,Sleeveless,Red,Round,Slim,Printed,1001,3,1
L,Sleeveless,Blue,Mandarin,Slim,Printed,1251,8,1
XL,Half,Green,Polo,Loose,Checked,2854,2,1
S,Sleeveless,Black,Mandarin,Slim,Striped,2149,2,0
M,Half,White,Round,Regular,Checked,1600,3,0
L,Full,White,Round,Regular,Printed,2982,2,0
S,Half,Red,Polo,Slim,Solid,2272,8,0
M,Full,Red,Polo,Slim,Checked,402,2,1
M,Full,Green,Polo,Slim,Checked,1150,3,0
S,Half,Green,Round,Slim,Printed,683,9,1
S,Half,White,Mandarin,Regular,Solid,1477,5,1
L,Sleeveless,Black,Polo,Loose,Printed,2738,0,0
M,Half,Blue,Polo,Regular,Checked,638,10,1
M,Full,Green,V-Neck,Loose,Solid,231,2,0
L,Half,Black,Polo,Regular,Solid,1160,0,1
M,Sleeveless,Blue,Mandarin,Slim,Solid,575,3,1
L,Sleeveless,Red,Mandarin,Loose,Printed,1051,2,1
S,Half,Green,V-Neck,Slim,Printed,1197,3,1
M,Half,Red,Polo,Slim,Solid,2992,1,0
S,Full,Red,V-Neck,Loose,Striped,1076,0,0
M,Full,Red,Polo,Regular,Solid,1716,3,0
XL,Half,White,Mandarin,Regular,Printed,908,1,0
M,Half,Yellow,V-Neck,Loose,Solid,1870,5,0
M,Full,Red,Round,Regular,Striped,701,3,1
M,Sleeveless,Blue,Polo,Slim,Striped,1019,0,1
M,Half,Black,Round,Regular,Checked,1675,3,1
M,Sleeveless,Red,Round,Regular,Solid,2224,0,0
L,Half,Yellow,Polo,Slim,Checked,1154,9,0
S,Half,Green,Mandarin,Regular,Solid,901,0,1
M,Half,Blue,Polo,Slim,Printed,1024,1,0
L,Half,White,V-Neck,Slim,Solid,705,2,0
S,Half,Blue,V-Neck,Loose,Printed,1128,3,0
M,Sleeveless,Black,Polo,Slim,Solid,1224,1,1
XL,Full,Black,Polo,Loose,Checked,2624,4,0
S,Half,Black,Polo,Regular,Printed,727,1,1
M,Sleeveless,Red,Mandarin,Loose,Striped,1528,3,0
L,Full,White,Polo,Regular,Checked,1097,3,0
L,Half,Blue,Round,Regular,Striped,574,0,0
L,Full,Blue,Mandarin,Loose,Checked,2370,1,0
M,Full,Black,V-Neck,Regular,Solid,789,1,1
S,Full,Red,Polo,Slim,Checked,523,5,0
M,Full,Black,Mandarin,Loose,Solid,2061,6,0
S,Half,Blue,V-Neck,Slim,Printed,2523,4,0
S,Half,White,Polo,Regular,Solid,610,2,1
S,Full,Red,Polo,Slim,Solid,270,3,0
L,Half,Yellow,Polo,Regular,Printed,1022,7,1
M,Half,Green,Mandarin,Loose,Checked,901,2,0
M,Half,Yellow,Mandarin,Loose,Printed,2661,4,0
M,Half,Red,V-Neck,Loose,Striped,946,2,0
XL,Full,Green,Round,Loose,Solid,843,3,0
M,Half,Red,V-Neck,Regular,Solid,1072,2,1
M,Full,Green,Round,Slim,Checked,829,2,1
M,Sleeveless,Green,V-Neck,Regular,Checked,1246,6,1
M,Half,Red,Polo,Regular,Solid,965,1,0
XL,Half,White,Mandarin,Slim,Solid,2664,1,1
M,Sleeveless,Green,Mandarin,Regular,Solid,1371,2,0
M,Full,Red,V-Neck,Regular,Checked,1419,4,0
XL,Half,Black,V-Neck,Regular,Solid,1290,0,0
M,Full,Black,Polo,Loose,Solid,626,4,1
L,Sleeveless,Black,Mandarin,Slim,Solid,956,5,0
M,Full,Red,Mandarin,Regular,Printed,2703,3,0
M,Full,White,Round,Slim,Solid,1319,0,1
M,Half,Blue,Round,Loose,Solid,766,3,0
L,Full,Black,Round,Regular,Striped,825,3,1
M,Full,Yellow,Polo,Regular,Checked,1213,7,0
M,Full,Blue,Polo,Regular,Striped,1096,3,0
S,Sleeveless,White,V-Neck,Loose,Printed,2812,8,0
S,Sleeveless,Red,Mandarin,Loose,Striped,613,6,1
S,Sleeveless,Yellow,Mandarin,Regular,Printed,2999,8,1
L,Full,Blue,Round,Regular,Solid,1462,0,0
L,Sleeveless,Blue,Round,Slim,Solid,1561,7,1
S,Full,Green,Mandarin,Regular,Checked,219,2,0
S,Full,Yellow,Round,Slim,Solid,553,3,1
L,Sleeveless,White,Round,Regular,Striped,3000,0,0
L,Full,Green,Round,Slim,Solid,2272,1,1
XL,Full,White,V-Neck,Loose,Solid,1067,3,0
L,Half,Yellow,Round,Regular,Printed,930,2,1
L,Half,Black,V-Neck,Loose,Printed,949,0,1
M,Full,White,V-Neck,Regular,Solid,1334,0,1
L,Half,Green,Round,Regular,Printed,2477,9,0
M,Half,Blue,V-Neck,Regular,Striped,981,0,1
M,Full,Blue,Mandarin,Slim,Striped,2932,2,0
M,Sleeveless,Green,Round,Loose,Striped,1762,4,0
L,Full,Black,Polo,Slim,Printed,2547,2,0
M,Half,Red,Round,Loose,Printed,522,2,0
L,Full,Green,Mandarin,Regular,Printed,801,2,0
L,Sleeveless,Green,Round,Slim,Striped,632,2,1
M,Full,Black,Round,Loose,Checked,2076,2,0
XL,Full,Red,Polo,Slim,Checked,1018,1,1
S,Sleeveless,Black,V-Neck,Regular,Striped,200,1,0
S,Full,Green,Round,Regular,Checked,263,2,0
M,Half,Green,Round,Slim,Striped,2504,1,1
XL,Half,Blue,Mandarin,Loose,Striped,1335,2,1
S,Half,Yellow,Mandarin,Regular,Striped,1978,10,1
L,Full,Red,V-Neck,Regular,Solid,1412,9,0
L,Half,Green,Round,Slim,Solid,2396,1,1
L,Half,Blue,Round,Regular,Solid,1300,7,0
M,Full,Yellow,Round,Regular,Printed,2073,6,0
L,Half,Black,V-Neck,Regular,Striped,628,0,1
S,Half,Black,V-Neck,Slim,Striped,774,0,0
XL,Half,Black,Polo,Regular,Checked,2863,1,0
M,Half,Yellow,Round,Regular,Printed,1198,8,0
M,Sleeveless,Red,Polo,Regular,Solid,2075,8,0
XL,Full,Blue,Mandarin,Slim,Solid,357,4,0
M,Full,Blue,Mandarin,Slim,Checked,1314,7,0
M,Full,Green,Polo,Regular,Printed,281,2,1
L,Sleeveless,Blue,V-Neck,Regular,Striped,638,0,0
L,Sleeveless,Black,V-Neck,Loose,Striped,823,7,0
L,Half,Green,V-Neck,Regular,Solid,2007,4,1
S,Full,Yellow,V-Neck,Regular,Printed,895,9,0
M,Half,Black,Round,Regular,Checked,2679,3,0
S,Full,Black,Polo,Regular,Checked,2986,6,0
S,Full,White,Round,Regular,Solid,1035,2,0
S,Full,Black,Round,Regular,Striped,2056,4,1
M,Sleeveless,Blue,Mandarin,Slim,Striped,532,3,1
M,Half,Green,Round,Regular,Printed,585,1,1
XL,Full,White,V-Neck,Loose,Solid,2315,8,0
L,Full,Green,V-Neck,Slim,Printed,1458,3,0
L,Half,Black,V-Neck,Slim,Striped,2071,6,0
M,Full,Black,Mandarin,Regular,Solid,855,1,0
L,Full,Black,Round,Slim,Solid,2617,8,1
M,Full,Blue,Round,Regular,Printed,2160,2,1
M,Half,Yellow,Round,Loose,Printed,1281,1,0
M,Full,Green,Mandarin,Loose,Solid,1171,1,0
S,Full,White,Polo,Loose,Printed,607,3,0
S,Full,Black,Mandarin,Regular,Solid,349,1,1
XL,Full,Yellow,V-Neck,Loose,Printed,379,1,0
L,Half,Blue,Round,Slim,Printed,2541,7,0
M,Half,Green,Mandarin,Loose,Solid,1937,6,0
S,Sleeveless,White,Round,Regular,Striped,1265,1,1
XL,Sleeveless,Blue,Polo,Loose,Solid,882,2,1
L,Full,Black,Mandarin,Regular,Solid,2401,1,1
XL,Sleeveless,White,Mandarin,Regular,Printed,973,6,0
L,Full,Blue,V-Neck,Slim,Striped,1796,5,0
S,Full,Blue,V-Neck,Slim,Solid,705,1,0
M,Half,White,Round,Slim,Checked,857,3,0
L,Half,White,Mandarin,Regular,Solid,1258,0,0
S,Half,Green,Round,Loose,Solid,2225,4,0
S,Sleeveless,White,Mandarin,Regular,Striped,1558,3,0
S,Half,Green,V-Neck,Slim,Printed,2666,6,1
L,Full,Black,Polo,Regular,Printed,230,1,0
S,Sleeveless,Blue,Polo,Regular,Striped,2649,6,0
S,Sleeveless,Black,Polo,Slim,Solid,2900,6,0
M,Half,Green,Round,Loose,Printed,1251,3,0
M,Half,White,Mandarin,Loose,Checked,1913,2,0
L,Half,Blue,V-Neck,Loose,Striped,2272,3,0
XL,Sleeveless,Red,Round,Loose,Solid,529,4,1
L,Full,Yellow,Round,Regular,Checked,1102,6,0
S,Half,Blue,Mandarin,Regular,Printed,388,9,1
M,Full,Red,V-Neck,Loose,Solid,407,1,1
S,Sleeveless,Red,V-Neck,Slim,Printed,2326,8,0
S,Full,Blue,Mandarin,Slim,Solid,220,3,1
XL,Half,White,Mandarin,Regular,Striped,1086,7,0
M,Full,Black,Mandarin,Regular,Solid,884,4,1
M,Sleeveless,White,Mandarin,Loose,Striped,1803,1,1
XL,Half,Blue,V-Neck,Slim,Solid,2838,2,1
L,Full,Red,Mandarin,Regular,Printed,2978,4,0
L,Full,Black,V-Neck,Regular,Solid,945,8,1
XL,Half,Black,Round,Slim,Printed,585,3,0
L,Full,Red,Polo,Regular,Striped,1923,4,0
L,Full,Black,Round,Loose,Solid,1088,1,1
S,Half,White,Polo,Regular,Solid,2076,2,0
M,Half,Black,Round,Regular,Solid,1024,1,0
XL,Sleeveless,Green,V-Neck,Slim,Striped,1350,3,1
XL,Sleeveless,Yellow,V-Neck,Slim,Striped,1783,5,0
L,Half,Red,Polo,Regular,Printed,807,6,0
XL,Full,Black,Round,Regular,Checked,1296,0,1
L,Half,Blue,Mandarin,Loose,Printed,1092,0,0
L,Sleeveless,Blue,V-Neck,Loose,Printed,1147,1,0
L,Half,Green,V-Neck,Slim,Solid,529,1,0
M,Sleeveless,Yellow,Polo,Loose,Solid,527,6,0
L,Half,White,Round,Slim,Printed,1604,3,0
L,Sleeveless,Blue,Round,Regular,Printed,3000,0,1
L,Half,Red,V-Neck,Slim,Solid,552,3,1
L,Half,Red,Mandarin,Slim,Printed,1049,1,0
L,Sleeveless,White,V-Neck,Slim,Striped,1969,1,0
M,Half,Blue,Round,Loose,Printed,2986,1,0
S,Sleeveless,Green,Round,Regular,Striped,2376,3,0
L,Full,Red,Mandarin,Loose,Checked,811,1,0
S,Full,Black,Round,Slim,Striped,751,1,0
XL,Half,Black,Polo,Slim,Printed,2154,3,0
S,Sleeveless,Black,Polo,Slim,Printed,2694,6,0
XL,Sleeveless,White,Polo,Slim,Solid,979,1,0
M,Half,Black,Mandarin,Loose,Checked,1183,3,0
XL,Half,Red,V-Neck,Slim,Solid,1153,4,0
L,Half,Blue,Round,Loose,Solid,672,2,1
M,Sleeveless,Blue,Round,Regular,Solid,1038,3,1
L,Sleeveless,Green,V-Neck,Regular,Striped,816,3,0
M,Full,Blue,V-Neck,Loose,Solid,1020,3,0
XL,Full,White,Polo,Slim,Solid,1593,3,1
S,Half,Black,Mandarin,Loose,Solid,746,3,1
M,Full,Yellow,V-Neck,Slim,Checked,1179,7,1
S,Full,Blue,Round,Regular,Striped,1471,2,1
S,Half,Blue,Mandarin,Slim,Striped,2540,8,0
XL,Sleeveless,Red,Round,Slim,Printed,588,3,1
S,Half,Red,Round,Regular,Checked,1489,3,0
M,Sleeveless,Red,Round,Slim,Printed,457,3,0
M,Half,Black,V-Neck,Loose,Solid,1396,0,1
L,Full,Black,Round,Regular,Striped,409,3,0
L,Full,Green,Polo,Slim,Solid,822,0,1
S,Half,Green,Round,Regular,Printed,1301,1,1
L,Sleeveless,White,Round,Slim,Checked,709,1,0
XL,Sleeveless,Green,Polo,Regular,Printed,1219,2,0
M,Sleeveless,White,Round,Regular,Solid,1057,3,0
S,Full,Blue,Mandarin,Regular,Printed,2765,1,0
XL,Half,Green,Mandarin,Slim,Printed,2058,6,1
XL,Full,Yellow,Polo,Loose,Printed,1471,3,1
S,Half,Yellow,Mandarin,Regular,Striped,1869,4,0
XL,Sleeveless,White,Round,Slim,Checked,1231,3,1
XL,Half,Green,V-Neck,Regular,Striped,926,3,0
XL,Half,Black,Mandarin,Regular,Printed,913,3,0
M,Full,Black,Polo,Slim,Printed,1436,4,1
XL,Sleeveless,Green,V-Neck,Slim,Solid,315,0,0
S,Full,Yellow,Polo,Regular,Striped,2006,8,0
M,Half,Green,V-Neck,Regular,Printed,369,1,0
M,Full,Black,Mandarin,Regular,Striped,1553,0,1
S,Half,White,Polo,Slim,Checked,2342,9,0
S,Full,Red,Round,Regular,Printed,721,0,0
S,Sleeveless,Blue,Round,Slim,Solid,759,2,1
M,Half,Red,Polo,Loose,Striped,2342,1,0
L,Sleeveless,Black,V-Neck,Loose,Checked,1180,1,0
L,Sleeveless,Black,Polo,Slim,Solid,478,5,1
L,Full,Black,Mandarin,Slim,Solid,402,2,1
M,Sleeveless,Red,V-Neck,Regular,Solid,2541,2,0
S,Full,Blue,V-Neck,Slim,Checked,338,6,1
M,Sleeveless,Blue,Round,Loose,Solid,923,0,0
M,Full,Blue,V-Neck,Loose,Printed,263,2,0
L,Full,White,Round,Loose,Striped,2283,8,0
L,Full,Blue,Mandarin,Regular,Printed,1400,3,0
L,Full,Red,Mandarin,Slim,Striped,1873,6,0
M,Full,Blue,Polo,Regular,Printed,3000,0,1
L,Half,White,Mandarin,Regular,Striped,605,9,1
XL,Full,Red,Round,Regular,Solid,1616,8,1
M,Sleeveless,Green,Mandarin,Loose,Solid,501,3,0
M,Full,Green,Round,Loose,Striped,382,2,1
L,Half,White,Polo,Regular,Checked,604,3,0
L,Half,Blue,Polo,Regular,Solid,953,0,1
M,Half,Blue,V-Neck,Slim,Solid,572,1,0
S,Half,Blue,Round,Slim,Printed,764,0,0
S,Full,Blue,V-Neck,Regular,Solid,1086,9,1
L,Full,Red,Polo,Regular,Striped,915,0,1
S,Full,Black,V-Neck,Slim,Striped,2663,3,1
M,Full,Black,Polo,Regular,Striped,647,1,0
L,Sleeveless,White,Round,Regular,Solid,1586,3,0
L,Full,Red,V-Neck,Regular,Printed,1422,3,0
S,Full,Blue,V-Neck,Regular,Printed,1167,1,0
L,Sleeveless,White,V-Neck,Loose,Checked,1333,2,0
M,Sleeveless,Red,V-Neck,Regular,Printed,2402,0,0
S,Full,Black,Polo,Slim,Printed,868,2,1
S,Full,Blue,Round,Loose,Printed,350,9,0
S,Half,White,V-Neck,Slim,Checked,2017,4,0
M,Sleeveless,Green,Mandarin,Loose,Solid,3000,3,1
XL,Full,Black,Round,Loose,Printed,851,3,0
L,Sleeveless,Blue,V-Neck,Regular,Striped,1538,1,0
S,Full,Red,Round,Loose,Checked,841,3,0
S,Full,Black,V-Neck,Regular,Striped,556,5,0
S,Half,Red,Mandarin,Loose,Striped,2115,0,0
S,Half,Blue,Mandarin,Slim,Striped,861,3,1
M,Full,Red,Polo,Regular,Printed,2200,0,0
L,Sleeveless,Black,Mandarin,Regular,Solid,723,3,0
L,Half,Blue,Polo,Slim,Solid,260,0,0
L,Sleeveless,Blue,Mandarin,Regular,Solid,2375,5,0
L,Half,Blue,V-Neck,Regular,Solid,452,3,0
M,Half,Green,Mandarin,Loose,Printed,2132,6,0
M,Sleeveless,White,Polo,Slim,Striped,1815,1,1
S,Full,Red,Round,Loose,Printed,2338,3,0
M,Full,Black,V-Neck,Slim,Checked,2234,0,0
M,Full,Yellow,Mandarin,Regular,Solid,636,2,0
L,Sleeveless,Yellow,V-Neck,Slim,Solid,1028,4,0
L,Half,Red,Polo,Loose,Striped,2046,3,0
XL,Sleeveless,Green,Round,Slim,Checked,1586,6,0
S,Full,Red,Mandarin,Slim,Striped,1084,6,0
L,Full,White,Mandarin,Slim,Printed,1860,6,0
L,Half,Black,Round,Loose,Solid,607,2,1
S,Half,Green,V-Neck,Slim,Checked,748,2,1
L,Full,Blue,V-Neck,Slim,Striped,656,2,1
M,Full,White,Round,Loose,Printed,1661,4,1
L,Full,Blue,Polo,Regular,Striped,2025,0,0
S,Sleeveless,Yellow,Mandarin,Loose,Printed,1218,5,0
M,Half,Blue,V-Neck,Slim,Striped,1281,1,0
XL,Full,Yellow,Round,Regular,Printed,1894,0,0
S,Full,Black,Polo,Loose,Solid,1519,4,0
M,Full,White,Mandarin,Slim,Printed,241,0,1
M,Half,Black,Round,Slim,Striped,941,3,0
M,Sleeveless,Red,Round,Slim,Printed,494,2,0
XL,Sleeveless,Black,Polo,Slim,Striped,2229,9,0
M,Full,Yellow,V-Neck,Regular,Printed,225,4,1
XL,Full,Yellow,V-Neck,Slim,Printed,667,1,0
XL,Sleeveless,White,Mandarin,Loose,Striped,2846,1,0
L,Sleeveless,Red,Mandarin,Slim,Printed,2360,0,0
M,Full,Black,Round,Regular,Printed,1529,3,1
L,Half,Green,V-Neck,Loose,Solid,2456,5,0
M,Full,Black,Round,Slim,Printed,956,2,0
L,Sleeveless,Green,Polo,Slim,Checked,2157,7,0
L,Half,Blue,Polo,Loose,Striped,1382,5,1
